ID_REF,FC,Gene Symbol
223832_s_at,0.2803945155312504,CAPNS2
242625_at,0.2803687748229171,RSAD2
224840_at,0.2802231862500051,FKBP5
207328_at,0.28020779487500036,ALOX15
236172_at,0.2799375790520813,LTB4R
214465_at,0.27962501853125055,ORM1 /// ORM2
216676_x_at,0.27946843183333137,KIR3DL3
205230_at,0.2779907869166651,RPH3A
212262_at,0.2779077512916679,QKI
201617_x_at,0.27731225468750154,CALD1
202430_s_at,0.27555243851041755,PLSCR1
222043_at,0.2752576035416663,CLU
222833_at,0.2751377305833378,LPCAT2
204115_at,0.2750329467291657,GNG11
225782_at,0.27428506551041654,MSRB3
239412_at,0.2736548635312497,IRF5
217472_at,0.27360788169791395,
230972_at,0.27304126431250175,ANKRD9
230051_at,0.27295589070833515,PROSER2
219859_at,0.27264460578125327,CLEC4E
206111_at,0.2722702572291702,RNASE2
235174_s_at,0.27212492089583407,LINC01003
227959_at,0.27198178018750063,ANKRD9
232027_at,0.27187524179166545,SYNE1
206214_at,0.27169653960416973,PLA2G7
228854_at,0.27130824486458494,
221523_s_at,0.27042728415625206,RRAGD
230720_at,0.2699325131562462,RNF182
211688_x_at,0.2691688353958348,KIR3DL1 /// KIR3DL2
201417_at,0.2684583236874989,SOX4
208230_s_at,0.2682754265937488,NRG1
201125_s_at,0.2681571982499964,ITGB5
233587_s_at,0.2679168077812495,SIPA1L2
235518_at,0.2674240633124976,SLC8A1
226338_at,0.26697580607291727,TMEM55A
222058_at,0.26600294636458344,RNF130
219580_s_at,0.2656678773750025,TMC5
222924_at,0.2652859237916667,SLMAP
213506_at,0.26509819387499967,F2RL1
1556136_at,0.2646186136875004,MYLK4
208792_s_at,0.2644091203645882,CLU
212151_at,0.26363946134375205,PBX1
203680_at,0.26304608170833177,PRKAR2B
236811_at,0.26293168306249903,DMRTC2
228618_at,0.26291665193749836,PEAR1
202435_s_at,0.2625941501875033,CYP1B1
213017_at,0.26223118185416716,ABHD3
226889_at,0.26194764280208727,WDR35
201058_s_at,0.26183504127083257,MYL9
220496_at,0.25930160260416635,CLEC1B
213379_at,0.2591930370937492,COQ2
212636_at,0.2590105381041692,QKI
204165_at,0.258881995229169,WASF1
202436_s_at,0.25887160554166133,CYP1B1
224866_at,0.25869100487499885,FAR1
1563474_at,0.25869024339583335,METTL20
206100_at,0.25865225661458346,CPM
205863_at,0.2584170663333367,S100A12
201559_s_at,0.2583073503124984,CLIC4
216261_at,0.2578355297083297,ITGB3
243396_at,0.257338079749998,
210512_s_at,0.2563241494479156,VEGFA
221959_at,0.25511891346874904,FAM110B
204629_at,0.25510750503124946,PARVB
211410_x_at,0.25488979101041753,KIR2DL5A
219799_s_at,0.25486549722916596,DHRS9
229067_at,0.2545242657395841,
207719_x_at,0.25435147106250344,CEP170 /// CEP170P1
1559776_at,0.2535315179166657,
211532_x_at,0.25316325670833173,KIR2DS2
219298_at,0.2528663860208349,ECHDC3
