ID_REF,FC,Gene Symbol
221491_x_at,0.41064070953124965,HLA-DQB1 /// HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// HLA-DRB6 /// LOC100996809 /// LOC101060835
203949_at,0.4104602511875006,MPO
233312_at,0.4101036191875016,ROPN1L
207205_at,0.409885865062499,CEACAM4
217735_s_at,0.40909137309375065,EIF2AK1
226322_at,0.4087050772499996,TMTC1
205041_s_at,0.40836761646874997,ORM1 /// ORM2
1557924_s_at,0.40478267368749954,ALPL
209735_at,0.40369600771874836,ABCG2
205390_s_at,0.40280919915624747,ANK1
205389_s_at,0.40187974984374897,ANK1
206237_s_at,0.4014846990625003,NRG1
1569886_a_at,0.4010148395312494,GLB1L3
1553604_at,0.4007767470937482,ABCA13
221695_s_at,0.40048241965624864,MAP3K2
230323_s_at,0.3999461297500009,TMEM45B
228758_at,0.3993839129375001,BCL6
235582_at,0.39912347115625035,E2F2
235949_at,0.39866946874999964,TTC26
231662_at,0.3981457444687502,ARG1
201042_at,0.3968988536249993,TGM2
236399_at,0.3966107048125007,RP11-443B7.1
241881_at,0.3963553602500003,TRIM58
227297_at,0.3958530524687527,ITGA9
206208_at,0.39512975096874836,CA4
201058_s_at,0.395029576218751,MYL9
206204_at,0.3945698646875,GRB14
209930_s_at,0.393616279718751,NFE2
224216_at,0.39310853896874765,
1565895_at,0.3916765868750005,
239647_at,0.3916369373437485,CHST13
205425_at,0.39130553287500014,HIP1
216388_s_at,0.3907704218749988,LTB4R
223609_at,0.39034588962500116,ROPN1L
244349_at,0.3894219460624999,
232034_at,0.3882933542187512,LINC00537
238446_at,0.38817184171874874,NAIP
207808_s_at,0.3881576395312498,PROS1
235380_at,0.3880896015624966,
235683_at,0.3880333087500025,SESN3
241652_x_at,0.38752521896874903,LIN7A
210254_at,0.38720455296875134,MS4A3
1570135_at,0.3871642014062502,ZNF230
215435_at,0.3870097494375013,
239021_at,0.38689151584375203,TLR6
204861_s_at,0.38687586431249876,NAIP
203961_at,0.3867767074374995,NEBL
219786_at,0.38658671681250123,MTL5
209410_s_at,0.38654963524999886,GRB10
236113_at,0.3865486400937499,
211102_s_at,0.38635379662500124,LILRA2
1554053_at,0.3862629616874993,SPTLC1
236013_at,0.38581941125000174,CACNA1E
231249_at,0.38483800421874914,SZT2
1560797_s_at,0.38291901675000073,LOC101927830 /// TMLHE-AS1
206464_at,0.3827719453749996,BMX
206440_at,0.3825012139687516,LIN7A
1565976_at,0.3822760219062502,
211546_x_at,0.38208214121875095,SNCA
1561780_at,0.3819577842500004,
209369_at,0.38175610471874766,ANXA3
1570070_at,0.38146466421875,CCM2L
236999_at,0.38101123493750055,PPWD1
235490_at,0.38063782412500036,TMEM107
210746_s_at,0.3802618180937465,EPB42
223143_s_at,0.38026050906249864,AKIRIN2
208352_x_at,0.38023595524999987,ANK1
230388_s_at,0.3797982938437485,KANSL1-AS1
215558_at,0.3797699081249988,UBR2
236081_at,0.3797164834374982,SNCA
1562307_at,0.37924101868749993,
1562306_at,0.3788913366874995,
202411_at,0.378617994812501,IFI27
201785_at,0.3780099540312509,RNASE1
218865_at,0.3777920574999989,MARC1
213843_x_at,0.3776046177500012,SLC6A8
236988_x_at,0.37753139609375275,ITGB2
200998_s_at,0.37698708493749766,CKAP4
218718_at,0.3769150693124983,PDGFC
210506_at,0.3768134776249994,FUT7
207536_s_at,0.3760950065312496,TNFRSF9
203725_at,0.37603998356250035,GADD45A
235993_at,0.3756174297187487,PSMF1
232094_at,0.3753612106562496,KATNBL1
205699_at,0.37528549643750164,MAP2K6
1564274_at,0.3750925873437492,C9orf47
229238_at,0.3745176828750001,C17orf97
220570_at,0.3738381354062499,RETN
235370_at,0.37381450268749994,KREMEN1
229857_s_at,0.3737047418749997,KANSL1-AS1
229249_at,0.37353238987499804,
233126_s_at,0.3731314226250002,OLAH
207815_at,0.37308423137500046,PF4V1
228361_at,0.3724142010937488,E2F2
227952_at,0.3721556176874987,ZNF595
203369_x_at,0.3713239861562503,PDLIM7
1553952_at,0.3712638422500012,ZDHHC19
208577_at,0.3706830654375004,HIST1H3C
206493_at,0.37022562715625007,ITGA2B
219090_at,0.3702213170000004,SLC24A3
217507_at,0.369699442906251,SLC11A1
57588_at,0.36969122184375003,SLC24A3
209372_x_at,0.3692922587812486,TUBB2A /// TUBB2B
214266_s_at,0.3691324334375006,PDLIM7
215956_at,0.36902774384374837,
215047_at,0.3689819831562513,TRIM58
223924_at,0.3686789975937499,TTC25
1554516_at,0.3686036096249996,LINC00537
225829_at,0.36837536209375,PDZD8
1557050_at,0.36726394090624925,HOTAIRM1
206136_at,0.3670483184062503,FZD5
204466_s_at,0.3669833373124973,SNCA
225878_at,0.3668037862499993,KIF1B
215005_at,0.366616434187498,NECAB2
222435_s_at,0.36655020018749873,UBE2J1
219301_s_at,0.3661421934374989,CNTNAP2
208594_x_at,0.36609285940625025,LILRA6
244524_at,0.3654375899687503,LOC101927382 /// PAX8-AS1
1555928_at,0.36515142306250015,
220336_s_at,0.3651161293437504,GP6
203662_s_at,0.36413553803125254,TMOD1
241898_at,0.3639851586875009,LIPH
206301_at,0.36307324653125006,TEC
204925_at,0.3627588672499993,CTNS
207827_x_at,0.36186929843750093,SNCA
234640_x_at,0.36040388884374686,
232968_at,0.3603620851875027,FANK1
217552_x_at,0.36020675271875113,CR1
206494_s_at,0.35967426868750074,ITGA2B
201335_s_at,0.359046341,ARHGEF12
212807_s_at,0.3589506469375001,SORT1
222290_at,0.3578897734062503,OR2A20P /// OR2A9P
206157_at,0.35747797956249805,PTX3
204361_s_at,0.35697765128124814,SKAP2
216012_at,0.35693497887500003,
206049_at,0.3566140619687497,SELP
223552_at,0.3565603770937509,LRRC4
227309_at,0.35610762612500046,YOD1
217104_at,0.35596890215624555,ST20
232080_at,0.3555881799687528,HECW2
227300_at,0.3551937191250012,TMEM119
37408_at,0.35486750925,MRC2
228565_at,0.35466917003125076,KIAA1804
200984_s_at,0.35454446903125003,CD59
211820_x_at,0.35438081034375024,GYPA
213338_at,0.35398839575000185,TMEM158
238439_at,0.35398542484375106,ANKRD22
229856_s_at,0.3539011997812498,PITHD1
1570301_at,0.35340131978124845,RP11-6I2.3
229817_at,0.35334536056250077,ZNF608
1561042_at,0.3529657280937508,AGO2 /// CASC7 /// CASC7
209290_s_at,0.3529125165624998,NFIB
1553972_a_at,0.35269548784375004,CBS
36566_at,0.35259780206250024,CTNS
216997_x_at,0.3522951349062513,TLE4
231813_s_at,0.35180892581250056,COG1
218864_at,0.3515461332187506,TNS1
1558529_s_at,0.3513588311562499,AP006222.2
235842_at,0.3511698721562482,
214973_x_at,0.35101607078124974,IGHD
202855_s_at,0.35082888962500114,MIR6787 /// SLC16A3
224397_s_at,0.3503282065312505,TMTC1
215639_at,0.35022175721875115,SH2D3C
1555000_at,0.34979922146875,OK/SW-CL.36
243032_at,0.3497728015000021,
202131_s_at,0.34959512625000055,RIOK3
240893_at,0.3493670909375002,RP11-502N13.2
244274_at,0.3489248900312485,RP1-179N16.6
210655_s_at,0.34874477431250117,FOXO3 /// FOXO3B
228770_at,0.3484759130625008,GPR146
227498_at,0.34823990699999996,SOX6
218978_s_at,0.34795784003124997,SLC25A37
243508_at,0.34793235396875133,C20orf196
209691_s_at,0.347706423218753,DOK4
213559_s_at,0.3476726605937488,ZNF467
232035_at,0.3470234625937483,HIST1H4H
238183_at,0.34664802699999964,
1552398_a_at,0.3461125023750036,CLEC12A
210435_at,0.3458732847499997,ARL17A /// ARL17B
37566_at,0.34552380718750175,KIAA1045
1566893_at,0.3454052901562501,
221039_s_at,0.3453838431874985,ASAP1
223832_s_at,0.34527265696875054,CAPNS2
233371_at,0.34502435487500005,ABCC13
1556054_at,0.3450217206249997,
234632_x_at,0.344891372156253,
214465_at,0.344671059468749,ORM1 /// ORM2
1555953_at,0.3444920130625011,LOC101928717 /// SLC19A1
1566243_at,0.34439633371875367,
235568_at,0.3440166736249983,MCEMP1
1559128_at,0.34392101799999963,HSDL2
206025_s_at,0.34383595415624946,TNFAIP6
206117_at,0.3438240486249997,TPM1
230942_at,0.34376154231249956,CMTM5
232763_at,0.3437607745624991,TLN1
231236_at,0.34303806800000025,ZFP57
240772_at,0.3429613705624992,
206244_at,0.3428058647187511,CR1
221205_at,0.3427725394374983,
215698_at,0.3423514784999995,KDM5A
209373_at,0.34232270618750027,MALL
1556583_a_at,0.3417812250937504,SLC8A1
227497_at,0.3411570972187503,SOX6
202199_s_at,0.34088884959375054,SRPK1
204626_s_at,0.3407714462812512,ITGB3
206655_s_at,0.34070471621875065,GP1BB /// SEPT5 /// SEPT5-GP1BB
48030_i_at,0.3405259722812488,FAXDC2
1557366_at,0.340180757468751,CCDC144A /// CCDC144B /// CCDC144CP /// LOC101929141
230999_at,0.3400094444999997,
1554757_a_at,0.3398363575000003,INPP5A
208677_s_at,0.3393863435625004,BSG
201295_s_at,0.3392336867187513,WSB1
201052_s_at,0.3387408275624981,PSMF1
1555952_at,0.3387229395625022,LOC101928717 /// SLC19A1
244434_at,0.33857204668750196,GPR82
229696_at,0.3385704595312511,FECH
219295_s_at,0.33813884456249976,PCOLCE2
210854_x_at,0.3374807402500002,SLC6A8
210672_s_at,0.3370280154375003,NPRL3
240004_at,0.3369778048437495,
209651_at,0.3369162677499986,TGFB1I1
1554333_at,0.33682118034374975,DNAJA4
238996_x_at,0.33611762709374915,ALDOA
236132_at,0.33604513228124766,TLN1
1561893_at,0.33601032646874973,
212169_at,0.3354664275000001,FKBP9
215812_s_at,0.33539228165625,SLC6A10P /// SLC6A10PB /// SLC6A8
222816_s_at,0.3348810709687502,ZCCHC2
226498_at,0.33469283659375026,FLT1
1557889_at,0.33465458343750054,
1563474_at,0.3346446618750001,METTL20
201123_s_at,0.33454654490625035,EIF5A
235009_at,0.33446653734375076,BOD1L1
232963_at,0.3342263601249993,
206026_s_at,0.33418873837500307,TNFAIP6
1557811_a_at,0.3341196323437501,
224707_at,0.3341069127499985,CYSTM1
205196_s_at,0.3339333640624993,AP1S1
243115_at,0.33362158318750046,
203919_at,0.33332502746875203,TCEA2
230585_at,0.33324792706249884,KCNJ15
204970_s_at,0.33195572303125065,MAFG
232969_at,0.3316767781562513,CARD8
211087_x_at,0.33164359037500013,MAPK14
203370_s_at,0.3316414971562516,PDLIM7
1563452_at,0.3311750777500002,AVL9
225418_at,0.3311254071875007,PVRL2
1554173_at,0.3311106497499994,CD300LB
1569387_at,0.33074587653125054,BC048103 /// CSGALNACT1
209047_at,0.3306503659687503,AQP1
222941_at,0.3306369249062513,USP46
216608_at,0.33048616918750096,DKFZP434A062
228648_at,0.3304752472499981,LRG1
242642_at,0.3301522738749991,
244387_at,0.33007608671875044,
216899_s_at,0.3299967434687492,SKAP2
206130_s_at,0.3299321878125001,ASGR2
239206_at,0.3296303096875004,CR1L
227438_at,0.3293183816562504,ALPK1
241571_at,0.32921858115625025,
208949_s_at,0.3290427868749983,LGALS3
214746_s_at,0.3289083039062497,ZNF467
219360_s_at,0.32873193253125077,TRPM4
203638_s_at,0.32850632665625,FGFR2
204039_at,0.3281322008437497,CEBPA
1561579_at,0.3277568576249994,LOC728445
236089_at,0.32749503315625006,HECW2
202075_s_at,0.32671497575000163,PLTP
207500_at,0.32655448993749925,CASP5
1556283_s_at,0.32647628803124995,FGFR1OP2
210548_at,0.32643631443750065,CCL23
203948_s_at,0.32637865009375044,MPO
201059_at,0.32636846621875026,CTTN
215723_s_at,0.32622331706250085,PLD1
204545_at,0.32607360481249703,PEX6
230518_at,0.32538559156249836,MPZL2
205230_at,0.32507222693750215,RPH3A
220932_at,0.3247466391874996,
202619_s_at,0.3246192835000006,PLOD2
238375_at,0.32433290137499915,
219440_at,0.323745457874999,RAI2
238774_at,0.3235645992812497,
1555116_s_at,0.3232842904374995,SLC11A1
209273_s_at,0.3230558545624991,ISCA1
229151_at,0.3228862765624987,SLC14A1
237019_at,0.32286032474999926,
224693_at,0.322477510968751,FAM210B
218839_at,0.3223567426249989,HEY1
203661_s_at,0.322296706625,TMOD1
240058_at,0.32165105124999993,
233587_s_at,0.3215959993125006,SIPA1L2
208230_s_at,0.32114714756249985,NRG1
202219_at,0.32100693718749795,SLC6A8
1555736_a_at,0.3209800577812514,AGTRAP
1556185_a_at,0.3209618964375025,CTB-167B5.2
225168_at,0.3209441640624995,FRMD4A
239078_at,0.32092062125,BROX
210340_s_at,0.32079524121874936,CSF2RA
211564_s_at,0.3206717122499976,PDLIM4
205148_s_at,0.32060493203125073,CLCN4
226606_s_at,0.32021457059374914,MTG2
218966_at,0.32003761950000076,MYO5C
218013_x_at,0.31965942318750074,DCTN4
1558371_a_at,0.31935303424999795,ERICH1
241926_s_at,0.3193464793749996,ERG
233575_s_at,0.3192826266250002,TLE4
1565804_at,0.31858237559374736,
211806_s_at,0.31856651340624964,KCNJ15
230695_s_at,0.31848628365624965,RSPH9
216074_x_at,0.31832697290624967,WWC1
223694_at,0.31799543487499893,TRIM7
203167_at,0.3178544423437497,TIMP2
236322_at,0.3174688511249997,
227976_at,0.31743706296874974,SMIM10
243399_at,0.3171871707812519,
226226_at,0.31705060315625033,TMEM45B
1555503_a_at,0.31607147668749924,TMCC2
219300_s_at,0.3159952173749989,CNTNAP2
233621_s_at,0.31599210196875216,ARHGEF12
224099_at,0.3158927025312499,KCNH7
238403_at,0.31579796590625175,
214013_s_at,0.31488722690624993,TBC1D1
216971_s_at,0.3147923788437499,PLEC
1553920_at,0.31477576512499983,C9orf84
218660_at,0.31463868812500273,DYSF
228425_at,0.3146235203437513,PAX8-AS1
210391_at,0.3146149673125005,NR6A1
240743_at,0.31448961215625104,
202498_s_at,0.3144037468124967,SLC2A3
237870_at,0.3143826231874991,NQO2
1552449_a_at,0.3142131009062501,LOC653486 /// SCGB1C1
240638_at,0.31418241900000066,
231663_s_at,0.31393506703124796,ARG1
1560573_at,0.31386895143750015,LINC00944
204627_s_at,0.3138466723749964,ITGB3
202974_at,0.3130494718125032,MPP1
219975_x_at,0.3130286893750007,OLAH
